STATEFP,COUNTYFP,TRACT10,PUMA00
26,163,586200,03804
26,163,583500,03804
26,163,585600,03804
26,163,583600,03804
26,163,589400,03804
26,163,584200,03804
26,163,585800,03804
26,163,585700,03804
26,163,583300,03804
26,163,985400,03804
26,163,583000,03804
26,163,590500,03804
26,163,584000,03804
26,163,584400,03804
26,161,431000,03300
26,161,421900,03300
26,161,414500,03300
26,161,407600,03300
26,161,407000,03300
26,161,420000,03300
26,161,420200,03300
26,161,432000,03300
26,161,445000,03300
26,161,410900,03300
26,161,410100,03300
26,161,410500,03300
26,161,414900,03300
26,161,411700,03300
26,161,448000,03300
26,161,426000,03300
26,161,456000,03300
26,161,465000,03300
26,161,464000,03300
26,161,461000,03300
26,161,454000,03300
26,161,410600,03300
26,161,410800,03300
26,161,411000,03300
26,161,411200,03300
26,161,412700,03300
26,161,412100,03300
26,161,412300,03300
26,161,413000,03300
26,161,412600,03300
26,161,415800,03300
26,161,466000,03300
26,161,403100,03300
26,161,406000,03300
26,161,414200,03300
26,161,415200,03300
26,161,422200,03300
26,161,984000,03300
26,161,411900,03300
26,161,446200,03300
26,161,446400,03300
26,161,444000,03300
26,161,407400,03300
26,161,455000,03300
26,161,416000,03300
26,161,410400,03300
26,161,415600,03300
26,161,410200,03300
26,161,453000,03300
26,161,416200,03300
26,161,414700,03300
26,161,423400,03300
26,161,421100,03300
26,161,425000,03300
26,161,402300,03300
26,161,410300,03300
26,161,410700,03300
26,161,415400,03300
26,161,411100,03300
26,161,413200,03300
26,161,414000,03300
26,161,414300,03300
26,161,423600,03300
26,161,422900,03300
26,161,447000,03300
26,161,412000,03300
26,161,413402,03300
26,161,413403,03300
26,161,413401,03300
26,163,536500,03701
26,163,533900,03701
26,163,530900,03701
26,163,533200,03701
26,163,532600,03701
26,163,532400,03701
26,163,522500,03701
26,163,531700,03701
26,163,530800,03701
26,163,530400,03701
26,163,511400,03701
26,163,533400,03701
26,163,533100,03701
26,163,533000,03701
26,163,532300,03701
26,163,532200,03701
26,163,531900,03701
26,163,531600,03701
26,163,531300,03701
26,163,531100,03701
26,163,530500,03701
26,163,521400,03701
26,163,985300,03701
26,163,516800,03701
26,163,516500,03701
26,163,520800,03701
26,163,520700,03701
26,163,520300,03701
26,163,516900,03701
26,163,518600,03701
26,163,520200,03701
26,163,518500,03701
26,163,518400,03701
26,163,518000,03701
26,163,517500,03701
26,163,517200,03701
26,163,511900,03701
26,163,985900,03701
26,163,985100,03701
26,163,534100,03701
26,163,533300,03701
26,163,531400,03701
26,163,531800,03701
26,163,532700,03701
26,163,522300,03701
26,163,531500,03701
26,163,531200,03701
26,163,516700,03701
26,163,517100,03701
26,163,520400,03701
26,163,516600,03701
26,163,517000,03701
26,163,511200,03701
26,163,522400,03701
26,163,517300,03701
26,163,518900,03701
26,163,518800,03701
26,099,230700,03900
26,099,230602,03900
26,099,230601,03900
26,099,231400,03900
26,099,231500,03900
26,099,232000,03900
26,099,232500,03900
26,099,230000,03900
26,099,233000,03900
26,099,230200,03900
26,099,230400,03900
26,099,230500,03900
26,099,230900,03900
26,099,230300,03900
26,099,230800,03900
26,099,231000,03900
26,099,232400,03900
26,099,231100,03900
26,099,982000,03900
26,099,231600,03900
26,099,231700,03900
26,099,231800,03900
26,099,231900,03900
26,099,232100,03900
26,099,232200,03900
26,099,232300,03900
26,099,231200,03900
26,099,260800,04000
26,099,261000,04000
26,099,262600,04000
26,099,262800,04000
26,099,261600,04000
26,099,261700,04000
26,099,261400,04000
26,099,261500,04000
26,099,262100,04000
26,099,261900,04000
26,099,261800,04000
26,099,262000,04000
26,099,982200,04000
26,099,263500,04000
26,099,263800,04000
26,099,267600,04000
26,099,263200,04000
26,099,262200,04000
26,099,262300,04000
26,099,262400,04000
26,099,262500,04000
26,099,262700,04000
26,099,262900,04000
26,099,982300,04000
26,099,260600,04000
26,099,260700,04000
26,099,260900,04000
26,099,261100,04000
26,099,261200,04000
26,099,261300,04000
26,099,263400,04000
26,099,263600,04000
26,099,263700,04000
26,099,263900,04000
26,099,264000,04000
26,099,264200,04000
26,099,268300,04000
26,099,268400,04000
26,099,260100,04000
26,099,260300,04000
26,099,260000,04000
26,099,260200,04000
26,099,260400,04000
26,125,188000,02507
26,125,175300,02507
26,125,171300,02507
26,125,170000,02507
26,125,170100,02507
26,125,172500,02507
26,125,188100,02507
26,125,170200,02507
26,125,170300,02507
26,125,170400,02507
26,125,171000,02507
26,125,171600,02507
26,125,187000,02507
26,125,175100,02507
26,125,171100,02507
26,125,171200,02507
26,125,171400,02507
26,125,171500,02507
26,125,172400,02507
26,125,173100,02507
26,125,173000,02507
26,125,173200,02507
26,125,173300,02507
26,125,175200,02507
26,125,173600,02507
26,125,175000,02507
26,125,173400,02507
26,125,173500,02507
26,099,242100,04102
26,099,242500,04102
26,099,240800,04102
26,099,241000,04102
26,099,241200,04102
26,099,241400,04102
26,099,990100,04102
26,099,241500,04102
26,099,240000,04102
26,099,244000,04102
26,099,240300,04102
26,099,240400,04102
26,099,240900,04102
26,099,241300,04102
26,099,241600,04102
26,099,247300,04102
26,099,247500,04102
26,099,247601,04102
26,099,242000,04102
26,099,254200,04102
26,099,241700,04102
26,099,241800,04102
26,099,240500,04102
26,099,240600,04102
26,099,240700,04102
26,099,247400,04102
26,099,247602,04102
26,099,982100,04102
26,099,243500,04102
26,099,254000,04102
26,099,254100,04102
26,099,247100,04102
26,099,254500,04102
26,099,245000,04102
26,099,245200,04102
26,099,245300,04102
26,099,245400,04102
26,099,241900,04102
26,099,245100,04102
26,099,247200,04102
26,099,243000,04102
26,163,537600,03708
26,163,537500,03708
26,163,537800,03708
26,163,544000,03708
26,163,543800,03708
26,163,543400,03708
26,163,543700,03708
26,163,543500,03708
26,163,542900,03708
26,163,542200,03708
26,163,541800,03708
26,163,541400,03708
26,163,541300,03708
26,163,541000,03708
26,163,540600,03708
26,163,543000,03708
26,163,542800,03708
26,163,542700,03708
26,163,542600,03708
26,163,541700,03708
26,163,544200,03708
26,163,544300,03708
26,163,543900,03708
26,163,540900,03708
26,163,540700,03708
26,163,540500,03708
26,163,537700,03708
26,163,537300,03708
26,163,543100,03708
26,163,542400,03708
26,163,542300,03708
26,163,541500,03708
26,163,541200,03708
26,163,541100,03708
26,163,542500,03708
26,163,542100,03708
26,163,540800,03708
26,163,544100,03708
26,163,543600,03708
26,163,543200,03708
26,147,649000,03500
26,147,644000,03500
26,147,657100,03500
26,147,622000,03500
26,147,620000,03500
26,147,640100,03500
26,147,990000,03500
26,147,658500,03500
26,147,632000,03500
26,147,646000,03500
26,147,652600,03500
26,147,650100,03500
26,147,648000,03500
26,147,643000,03500
26,147,630400,03500
26,147,652100,03500
26,147,655600,03500
26,147,637200,03500
26,147,637300,03500
26,147,640200,03500
26,147,623000,03500
26,147,624000,03500
26,147,626000,03500
26,147,627000,03500
26,147,636000,03500
26,147,655100,03500
26,147,631100,03500
26,147,635000,03500
26,147,630100,03500
26,147,657200,03500
26,147,637100,03500
26,147,651200,03500
26,147,658100,03500
26,147,629000,03500
26,147,628000,03500
26,147,651600,03500
26,147,634100,03500
26,147,641000,03500
26,147,640600,03500
26,147,645000,03500
26,147,634600,03500
26,147,621000,03500
26,147,625000,03500
26,147,642000,03500
26,147,631600,03500
26,147,651100,03500
26,147,650200,03500
26,147,633200,03500
26,147,647000,03500
26,147,633100,03500
26,125,137700,02502
26,125,132100,02502
26,125,138600,02502
26,125,131100,02502
26,125,132700,02502
26,125,131600,02502
26,125,132600,02502
26,125,136000,02502
26,125,134500,02502
26,125,134600,02502
26,125,134300,02502
26,125,134700,02502
26,125,139400,02502
26,125,137800,02502
26,125,136300,02502
26,125,137100,02502
26,125,134900,02502
26,125,132500,02502
26,125,136800,02502
26,125,134400,02502
26,125,130100,02502
26,125,130200,02502
26,125,134000,02502
26,125,131800,02502
26,125,137400,02502
26,125,130400,02502
26,125,139200,02502
26,125,131400,02502
26,125,130300,02502
26,125,133001,02502
26,125,133100,02502
26,125,130000,02502
26,125,136700,02502
26,125,136500,02502
26,125,136600,02502
26,125,130500,02502
26,125,136101,02502
26,125,138302,02502
26,125,136102,02502
26,125,133003,02502
26,125,135200,02502
26,125,130600,02502
26,125,138100,02502
26,125,130700,02502
26,125,981000,02502
26,125,135300,02502
26,125,131500,02502
26,125,138301,02502
26,125,135100,02502
26,125,131300,02502
26,125,134800,02502
26,125,133002,02502
26,125,135000,02502
26,125,181400,02508
26,125,183100,02508
26,125,183400,02508
26,125,183700,02508
26,125,183800,02508
26,125,183900,02508
26,125,183300,02508
26,125,183500,02508
26,125,183600,02508
26,125,184200,02508
26,125,184300,02508
26,125,181000,02508
26,125,181100,02508
26,125,181200,02508
26,125,181500,02508
26,125,184500,02508
26,125,184700,02508
26,125,184000,02508
26,125,184100,02508
26,125,180200,02508
26,125,184600,02508
26,125,181300,02508
26,125,181600,02508
26,125,180300,02508
26,125,180100,02508
26,125,183000,02508
26,125,180000,02508
26,125,183200,02508
26,125,184400,02508
26,163,563600,03803
26,163,564200,03803
26,163,563200,03803
26,163,563900,03803
26,163,564100,03803
26,163,587000,03803
26,163,588300,03803
26,163,563800,03803
26,163,564300,03803
26,163,565000,03803
26,163,562900,03803
26,163,564000,03803
26,163,564503,03803
26,163,564502,03803
26,163,562500,03803
26,163,564501,03803
26,163,560200,03803
26,163,561600,03803
26,163,562800,03803
26,163,561300,03803
26,163,561200,03803
26,163,563700,03803
26,163,564401,03803
26,163,564402,03803
26,163,560300,03803
26,163,563300,03803
26,163,563400,03803
26,163,588100,03803
26,163,588400,03803
26,163,588200,03803
26,163,564800,03803
26,163,563500,03803
26,163,587900,03803
26,163,588000,03803
26,163,561900,03803
26,163,564700,03803
26,163,564600,03803
26,163,560400,03803
26,163,561700,03803
26,163,564504,03803
26,163,562600,03803
26,163,562300,03803
26,163,562700,03803
26,163,564900,03803
26,163,562400,03803
26,163,560100,03803
26,163,507400,03707
26,163,507100,03707
26,163,506600,03707
26,163,507000,03707
26,163,506900,03707
26,163,506800,03707
26,163,506400,03707
26,163,504900,03707
26,163,511300,03707
26,163,506300,03707
26,163,505000,03707
26,163,504800,03707
26,163,504700,03707
26,163,505500,03707
26,163,511000,03707
26,163,510500,03707
26,163,507800,03707
26,163,508000,03707
26,163,510700,03707
26,163,510600,03707
26,163,507500,03707
26,163,507300,03707
26,163,506500,03707
26,163,506200,03707
26,163,510400,03707
26,163,507900,03707
26,163,507200,03707
26,163,506700,03707
26,163,506100,03707
26,163,505100,03707
26,163,508100,03707
26,163,569300,03806
26,163,570600,03806
26,163,567400,03806
26,163,567800,03806
26,163,565100,03806
26,163,565300,03806
26,163,565200,03806
26,163,566700,03806
26,163,565800,03806
26,163,571000,03806
26,163,566400,03806
26,163,567300,03806
26,163,570400,03806
26,163,567201,03806
26,163,568000,03806
26,163,569800,03806
26,163,570800,03806
26,163,569500,03806
26,163,567100,03806
26,163,569600,03806
26,163,568200,03806
26,163,566800,03806
26,163,568300,03806
26,163,567000,03806
26,163,568700,03806
26,163,570100,03806
26,163,569900,03806
26,163,570200,03806
26,163,567900,03806
26,163,565700,03806
26,163,566600,03806
26,163,570900,03806
26,163,565900,03806
26,163,569200,03806
26,163,566500,03806
26,163,566900,03806
26,163,565600,03806
26,163,568400,03806
26,163,569100,03806
26,163,568800,03806
26,163,568500,03806
26,163,567202,03806
26,163,569700,03806
26,163,568900,03806
26,163,570500,03806
26,163,569400,03806
26,163,591600,03805
26,163,582000,03805
26,163,591502,03805
26,163,581500,03805
26,163,595000,03805
26,163,581800,03805
26,163,581200,03805
26,163,599000,03805
26,163,593000,03805
26,163,582100,03805
26,163,595100,03805
26,163,595200,03805
26,163,594500,03805
26,163,594400,03805
26,163,591700,03805
26,163,596200,03805
26,163,581100,03805
26,163,596300,03805
26,163,596100,03805
26,163,594300,03805
26,163,591900,03805
26,163,594000,03805
26,163,597000,03805
26,163,990200,03805
26,163,593200,03805
26,163,591800,03805
26,163,594100,03805
26,163,581600,03805
26,163,599100,03805
26,163,593300,03805
26,163,598000,03805
26,163,591501,03805
26,163,594200,03805
26,163,592000,03805
26,163,581900,03805
26,163,579300,03807
26,163,577800,03807
26,163,577300,03807
26,163,576600,03807
26,163,576200,03807
26,163,578000,03807
26,163,579100,03807
26,163,579200,03807
26,163,577100,03807
26,163,580200,03807
26,163,579800,03807
26,163,579500,03807
26,163,576400,03807
26,163,577700,03807
26,163,580900,03807
26,163,577500,03807
26,163,577200,03807
26,163,576700,03807
26,163,577600,03807
26,163,580300,03807
26,163,576000,03807
26,163,580400,03807
26,163,580500,03807
26,163,577000,03807
26,163,578500,03807
26,163,579700,03807
26,163,578600,03807
26,163,577400,03807
26,163,577900,03807
26,163,580700,03807
26,163,576500,03807
26,163,580100,03807
26,163,580800,03807
26,163,580600,03807
26,163,576300,03807
26,163,579600,03807
26,163,576100,03807
26,163,985600,03807
26,125,140700,02503
26,125,154200,02503
26,125,140100,02503
26,125,192800,02503
26,125,140500,02503
26,125,144900,02503
26,125,145100,02503
26,125,141000,02503
26,125,145300,02503
26,125,141200,02503
26,125,141300,02503
26,125,140600,02503
26,125,141700,02503
26,125,145700,02503
26,125,142000,02503
26,125,140800,02503
26,125,142500,02503
26,125,141100,02503
26,125,141600,02503
26,125,145502,02503
26,125,145400,02503
26,125,145501,02503
26,125,144100,02503
26,125,142700,02503
26,125,144500,02503
26,125,142400,02503
26,125,141400,02503
26,125,141500,02503
26,125,140301,02503
26,125,145600,02503
26,125,145200,02503
26,125,142600,02503
26,125,144600,02503
26,125,142100,02503
26,125,142200,02503
26,125,142300,02503
26,125,144800,02503
26,125,140900,02503
26,125,143500,02503
26,125,145900,02503
26,125,144701,02503
26,125,144200,02503
26,125,144300,02503
26,125,144400,02503
26,125,140302,02503
26,115,831800,03100
26,115,830400,03100
26,115,830200,03100
