STATEFP,COUNTYFP,TRACTCE,PUMACE10
26,125,194500,02903
26,125,194600,02903
26,125,196000,02903
26,125,196100,02903
26,125,196200,02903
26,125,196300,02903
26,125,196400,02903
26,125,196500,02903
26,125,196600,02903
26,125,196800,02903
26,125,196900,02903
26,125,197000,02903
26,125,197300,02903
26,125,197400,02903
26,125,197500,02903
26,125,197600,02903
26,125,198000,02903
26,125,197200,02903
26,125,197701,02903
26,125,197702,02903
26,125,191000,02903
26,125,191100,02903
26,125,191200,02903
26,125,197900,02903
26,125,192500,02903
26,125,197100,02903
26,125,192700,02903
26,125,198100,02903
26,125,196700,02903
26,125,193300,02903
26,125,141001,02904
26,125,145501,02904
26,125,144900,02904
26,125,145502,02904
26,125,144701,02904
26,125,143500,02904
26,125,981300,02904
26,125,140303,02904
26,125,141002,02904
26,125,144301,02904
26,125,981400,02904
26,125,981500,02904
26,125,140101,02904
26,125,981600,02904
26,125,140900,02904
26,125,144100,02904
26,125,144200,02904
26,125,144400,02904
26,125,144500,02904
26,125,144600,02904
26,125,145600,02904
26,125,140800,02904
26,125,142000,02904
26,125,140301,02904
26,125,145100,02904
26,125,145200,02904
26,125,145300,02904
26,125,145400,02904
26,125,144800,02904
26,125,145700,02904
26,125,140500,02904
26,125,140600,02904
26,125,140700,02904
26,125,141100,02904
26,125,141200,02904
26,125,141300,02904
26,125,141400,02904
26,125,141500,02904
26,125,141600,02904
26,125,141700,02904
26,125,142100,02904
26,125,142200,02904
26,125,142300,02904
26,125,142600,02904
26,125,142700,02904
26,125,142400,02904
26,125,142500,02904
26,125,145900,02904
26,125,137102,02905
26,125,137101,02905
26,125,136602,02905
26,125,136601,02905
26,125,133101,02905
26,125,133102,02905
26,125,135200,02905
26,125,133001,02905
26,125,133003,02905
26,125,136101,02905
26,125,135300,02905
26,125,133002,02905
26,125,135000,02905
26,125,137700,02905
26,125,136500,02905
26,125,134900,02905
26,125,135100,02905
26,125,136800,02905
26,125,134000,02905
26,125,134300,02905
26,125,134400,02905
26,125,134500,02905
26,125,134600,02905
26,125,134800,02905
26,125,136000,02905
