,GEOID10,BLKGRPID,TRACTID,STATEFP,COUNTYFP,TRACTCE,PUMA,REGION
907,261251664001,261251664001,26125166400,26,125,166400,2907,4
908,261251960001,261251960001,26125196000,26,125,196000,2903,4
909,261251315001,261251315001,26125131500,26,125,131500,2901,4
910,261251710005,261251710005,26125171000,26,125,171000,2908,4
911,261251360001,261251360001,26125136000,26,125,136000,2905,4
912,261251365003,261251365003,26125136500,26,125,136500,2905,4
913,261251573002,261251573002,26125157300,26,125,157300,2906,4
914,261251455012,261251455012,26125145501,26,125,145501,2904,4
929,261251570001,261251570001,26125157000,26,125,157000,2906,4
974,261251715002,261251715002,26125171500,26,125,171500,2908,4
975,261251735002,261251735002,26125173500,26,125,173500,2908,4
976,261251801001,261251801001,26125180100,26,125,180100,2908,4
977,261251832003,261251832003,26125183200,26,125,183200,2908,4
1010,261251933004,261251933004,26125193300,26,125,193300,2903,4
1011,261251660001,261251660001,26125166000,26,125,166000,2907,4
1012,261251378002,261251378002,26125137800,26,125,137800,2905,4
1013,261251833001,261251833001,26125183300,26,125,183300,2908,4
1014,261251961003,261251961003,26125196100,26,125,196100,2903,4
1037,261251816005,261251816005,26125181600,26,125,181600,2908,4
1038,261251813005,261251813005,26125181300,26,125,181300,2908,4
1039,261251833003,261251833003,26125183300,26,125,183300,2908,4
1040,261251406001,261251406001,26125140600,26,125,140600,2904,4
1041,261251960004,261251960004,26125196000,26,125,196000,2903,4
1042,261251612002,261251612002,26125161200,26,125,161200,2907,4
1043,261251327002,261251327002,26125132700,26,125,132700,2901,4
1050,261251610001,261251610001,26125161000,26,125,161000,2907,4
1051,261251576002,261251576002,26125157600,26,125,157600,2906,4
1052,261251576003,261251576003,26125157600,26,125,157600,2906,4
1053,261251668002,261251668002,26125166800,26,125,166800,2907,4
1054,261251715001,261251715001,26125171500,26,125,171500,2908,4
1055,261251714005,261251714005,26125171400,26,125,171400,2908,4
1056,261251838002,261251838002,26125183800,26,125,183800,2908,4
1057,261251625004,261251625004,26125162500,26,125,162500,2907,4
1058,261251625001,261251625001,26125162500,26,125,162500,2907,4
1059,261251702001,261251702001,26125170200,26,125,170200,2908,4
1060,261251703002,261251703002,26125170300,26,125,170300,2908,4
1083,261251960003,261251960003,26125196000,26,125,196000,2903,4
1084,261251666003,261251666003,26125166600,26,125,166600,2907,4
1085,261251834002,261251834002,26125183400,26,125,183400,2908,4
1086,261251330032,261251330032,26125133003,26,125,133003,2905,4
1087,261251841004,261251841004,26125184100,26,125,184100,2908,4
1088,261251844001,261251844001,26125184400,26,125,184400,2908,4
1089,261251616002,261251616002,26125161600,26,125,161600,2907,4
1090,261251674002,261251674002,26125167400,26,125,167400,2907,4
1091,261251730003,261251730003,26125173000,26,125,173000,2908,4
1124,261251936001,261251936001,26125193600,26,125,193600,2903,4
1125,261251964002,261251964002,26125196400,26,125,196400,2903,4
1126,261251541002,261251541002,26125154100,26,125,154100,2906,4
1127,261251665002,261251665002,26125166500,26,125,166500,2907,4
1128,261251964001,261251964001,26125196400,26,125,196400,2903,4
1129,261251214001,261251214001,26125121400,26,125,121400,2902,4
1130,261251836002,261251836002,26125183600,26,125,183600,2908,4
1146,261251730002,261251730002,26125173000,26,125,173000,2908,4
1147,261251283003,261251283003,26125128300,26,125,128300,2902,4
1148,261251283002,261251283002,26125128300,26,125,128300,2902,4
1149,261251284002,261251284002,26125128400,26,125,128400,2902,4
1150,261251725001,261251725001,26125172500,26,125,172500,2908,4
