,TRACTID,BLKGRPID,PUMA,COUNTYID,REGION
118,26093743500,260937435001,02800,26093,2
119,26093743600,260937436002,02800,26093,2
120,26093743700,260937437001,02800,26093,2
121,26093743800,260937438001,02800,26093,2
122,26093743800,260937438002,02800,26093,2
123,26093743900,260937439001,02800,26093,2
124,26093743900,260937439002,02800,26093,2
125,26093744200,260937442001,02800,26093,2
126,26093744200,260937442002,02800,26093,2
127,26093744200,260937442003,02800,26093,2
128,26093744200,260937442004,02800,26093,2
129,26093744400,260937444001,02800,26093,2
130,26093744700,260937447001,02800,26093,2
131,26093744400,260937444002,02800,26093,2
132,26093744600,260937446001,02800,26093,2
133,26093744600,260937446002,02800,26093,2
134,26093744700,260937447002,02800,26093,2
135,26093744800,260937448001,02800,26093,2
136,26093744800,260937448002,02800,26093,2
137,26093744800,260937448003,02800,26093,2
138,26093744900,260937449001,02800,26093,2
139,26093744900,260937449002,02800,26093,2
140,26099206700,260992067002,03001,26099,2
141,26099210000,260992100002,03001,26099,2
142,26099211000,260992110003,03001,26099,2
143,26099215000,260992150001,03001,26099,2
144,26099212000,260992120002,03001,26099,2
145,26099214000,260992140002,03001,26099,2
146,26099214500,260992145002,03001,26099,2
147,26099218001,260992180011,03001,26099,2
148,26099218002,260992180021,03001,26099,2
149,26099220002,260992200022,03001,26099,2
150,26099220003,260992200032,03001,26099,2
151,26099220004,260992200042,03001,26099,2
152,26099221100,260992211003,03001,26099,2
153,26099221100,260992211006,03001,26099,2
154,26099221200,260992212003,03001,26099,2
155,26099221800,260992218001,03001,26099,2
156,26099222104,260992221041,03001,26099,2
157,26099222105,260992221052,03001,26099,2
158,26099222106,260992221063,03001,26099,2
159,26099222500,260992225003,03001,26099,2
160,26099223401,260992234011,03002,26099,2
161,26099223402,260992234022,03002,26099,2
162,26099224001,260992240014,03002,26099,2
163,26099224101,260992241011,03002,26099,2
164,26099224102,260992241022,03002,26099,2
165,26099224202,260992242021,03002,26099,2
166,26099224300,260992243001,03002,26099,2
167,26099224400,260992244002,03002,26099,2
168,26099224500,260992245002,03002,26099,2
169,26099224600,260992246003,03002,26099,2
170,26099225100,260992251002,03002,26099,2
171,26099225200,260992252003,03002,26099,2
172,26099225300,260992253002,03002,26099,2
173,26099225300,260992253005,03002,26099,2
174,26099225401,260992254012,03002,26099,2
175,26099225402,260992254022,03002,26099,2
176,26099225500,260992255003,03002,26099,2
177,26099225900,260992259003,03002,26099,2
178,26099226102,260992261021,03002,26099,2
179,26099226700,260992267001,03002,26099,2
180,26099226700,260992267004,03002,26099,2
181,26099226700,260992267007,03002,26099,2
182,26099227000,260992270003,03002,26099,2
183,26099227300,260992273002,03002,26099,2
184,26099230200,260992302001,03003,26099,2
185,26099228000,260992280002,03002,26099,2
186,26099228100,260992281001,03002,26099,2
187,26099230000,260992300002,03003,26099,2
188,26099230200,260992302004,03003,26099,2
189,26099230300,260992303003,03003,26099,2
190,26099230400,260992304003,03003,26099,2
191,26099230501,260992305013,03003,26099,2
192,26099230602,260992306021,03003,26099,2
193,26099230901,260992309013,03003,26099,2
194,26099230902,260992309022,03003,26099,2
195,26099231000,260992310003,03003,26099,2
196,26099231200,260992312001,03003,26099,2
197,26099231400,260992314001,03003,26099,2
198,26099231500,260992315001,03003,26099,2
199,26099231600,260992316001,03003,26099,2
200,26099231700,260992317001,03003,26099,2
201,26099231700,260992317004,03003,26099,2
202,26099231800,260992318002,03003,26099,2
203,26099231900,260992319002,03003,26099,2
204,26099232000,260992320001,03003,26099,2
205,26099232100,260992321002,03003,26099,2
206,26099232100,260992321005,03003,26099,2
207,26099232200,260992322003,03003,26099,2
208,26099232301,260992323011,03003,26099,2
209,26099240300,260992403001,03004,26099,2
210,26099240400,260992404001,03004,26099,2
211,26099240400,260992404004,03004,26099,2
212,26099240500,260992405003,03004,26099,2
213,26099240602,260992406021,03004,26099,2
214,26099240700,260992407001,03004,26099,2
215,26099240801,260992408011,03004,26099,2
216,26099240802,260992408023,03004,26099,2
217,26099241000,260992410001,03004,26099,2
218,26099241000,260992410004,03004,26099,2
219,26099241200,260992412003,03004,26099,2
220,26099241300,260992413002,03004,26099,2
221,26099241400,260992414002,03004,26099,2
222,26099241500,260992415003,03004,26099,2
223,26099241700,260992417001,03004,26099,2
224,26099241800,260992418001,03004,26099,2
225,26099245100,260992451002,03004,26099,2
226,26099243502,260992435021,03004,26099,2
227,26099244000,260992440001,03004,26099,2
228,26099245000,260992450003,03004,26099,2
229,26099245200,260992452001,03004,26099,2
230,26099245300,260992453001,03004,26099,2
